location,campaign_website_url,electoral_position,candidate_position,candidate_history,election_result,election_type,number_of_votes_for_race,number_of_votes_for_candidate,vote_share,race_funding,candidate_funding,funding_share,contacted,number_of_pages_pre,number_of_total_errors_pre,number_of_critical_errors_pre,number_of_serious_errors_pre,number_of_moderate_errors_pre,number_of_minor_errors_pre,number_of_pages_post,number_of_total_errors_post,number_of_critical_errors_post,number_of_serious_errors_post,number_of_moderate_errors_post,number_of_minor_errors_post,number_of_words,number_of_unique_words,ease_of_reading,error-type_label_pre,error-type_color-contrast_pre,error-type_duplicate-id_pre,error-type_heading-order_pre,error-type_button-name_pre,error-type_link-name_pre,error-type_label_post,error-type_color-contrast_post,error-type_duplicate-id_post,error-type_heading-order_post,error-type_button-name_post,error-type_link-name_post,error-type_aria-allowed-role_pre,error-type_frame-title_pre,error-type_landmark-no-duplicate-banner_pre,error-type_region_pre,error-type_page-has-heading-one_pre,error-type_duplicate-id-aria_pre,error-type_empty-heading_pre,error-type_aria-valid-attr-value_pre,error-type_aria-allowed-role_post,error-type_frame-title_post,error-type_landmark-no-duplicate-banner_post,error-type_region_post,error-type_page-has-heading-one_post,error-type_duplicate-id-aria_post,error-type_empty-heading_post,error-type_aria-valid-attr-value_post,error-type_listitem_pre,error-type_aria-required-children_pre,error-type_landmark-banner-is-top-level_pre,error-type_tabindex_pre,error-type_autocomplete-valid_pre,error-type_label-title-only_pre,error-type_meta-viewport_pre,error-type_html-has-lang_pre,error-type_landmark-one-main_pre,error-type_image-redundant-alt_pre,error-type_bypass_pre,error-type_image-alt_pre,error-type_duplicate-id-active_pre,error-type_listitem_post,error-type_aria-required-children_post,error-type_image-redundant-alt_post,error-type_landmark-banner-is-top-level_post,error-type_tabindex_post,error-type_autocomplete-valid_post,error-type_label-title-only_post,error-type_meta-viewport_post,error-type_html-has-lang_post,error-type_landmark-one-main_post,error-type_image-alt_post,error-type_bypass_post,error-type_duplicate-id-active_post,error-type_checkboxgroup_pre,error-type_checkboxgroup_post,error-type_aria-valid-attr_pre,error-type_aria-valid-attr_post,error-type_aria-roles_pre,error-type_landmark-main-is-top-level_pre,error-type_aria-roles_post,error-type_landmark-main-is-top-level_post,error-type_landmark-no-duplicate-contentinfo_pre,error-type_frame-title-unique_pre,error-type_landmark-no-duplicate-contentinfo_post,error-type_frame-title-unique_post,error-type_skip-link_post,error-type_document-title_pre,error-type_document-title_post,error-type_skip-link_pre,error-type_scope-attr-valid_pre,error-type_scope-attr-valid_post,error-type_definition-list_pre,error-type_list_pre,error-type_definition-list_post,error-type_list_post,error-type_aria-allowed-attr_pre,error-type_aria-allowed-attr_post
"Minneapolis, MN",https://clintconner2021.com/,Mayor,Challenger,Never-Held-Office,Lost,General,143974,4309,0.02992901496,,,#DIV/0!,Contacted,31,445,63,266,81,35,40,576,85,336,104,51,11677,1934,62.867631578947375,31.0,154.0,1.0,7.0,0.0,31.0,41.0,187.0,8.0,9.0,0.0,41.0,31.0,3.0,31.0,31.0,12.0,0.0,3.0,0.0,40.0,5.0,40.0,40.0,15.0,4.0,3.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,46.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Minneapolis, MN",https://www.globusformayor.com/,Mayor,Challenger,Never-Held-Office,Lost,General,143974,1158,0.008043118896,,,#DIV/0!,Contacted,20,60,1,18,39,2,22,66,1,20,43,2,9883,1657,53.096363636363634,1.0,18.0,0.0,2.0,0.0,0.0,1.0,20.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,20.0,17.0,0.0,0.0,0.0,2.0,0.0,0.0,22.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Minneapolis, MN",https://mplsforkate.com/,Mayor,Challenger,Never-Held-Office,Lost,General,143974,26468,0.1838387487,,,#DIV/0!,Contacted,30,1475,6,1355,85,29,31,1513,7,1390,86,30,28919,3139,40.38620689655173,0.0,1184.0,0.0,79.0,0.0,129.0,0.0,1189.0,0.0,80.0,0.0,157.0,29.0,1.0,0.0,0.0,6.0,0.0,0.0,2.0,30.0,1.0,0.0,0.0,6.0,0.0,0.0,3.0,0.0,2.0,0.0,29.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,3.0,0.0,0.0,30.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Minneapolis, MN",https://www.sheilaforthepeople.com/,Mayor,Challenger,Never-Held-Office,Lost,General,143974,30368,0.2109269729,,,#DIV/0!,Not-Contacted,33,661,52,424,152,33,33,669,52,432,152,33,43033,5481,48.976000000000006,18.0,239.0,0.0,15.0,33.0,151.0,18.0,243.0,0.0,15.0,33.0,155.0,33.0,1.0,0.0,33.0,21.0,0.0,0.0,0.0,33.0,1.0,0.0,33.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,0.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Minneapolis, MN",https://www.votebobagain.com/,Mayor,Challenger,Never-Held-Office,Lost,General,143974,2788,0.0193646075,,,#DIV/0!,Contacted,1,11,0,7,4,0,1,11,0,7,4,0,3461,1086,36.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"Seattle, WA",https://www.teamteresa.org/,Council,Incumbent,In-Office,Won,General,188789,105706,0.5599160968,,,#DIV/0!,Contacted,37,399,39,203,89,68,38,468,40,270,91,67,13349,2331,47.41999999999998,1.0,0.0,9.0,13.0,0.0,191.0,1.0,0.0,7.0,14.0,0.0,258.0,40.0,0.0,0.0,37.0,1.0,0.0,19.0,0.0,41.0,0.0,0.0,38.0,1.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,11.0,1.0,0.0,0.0
"Seattle, WA",https://www.kenforcouncil8.com/,Council,Challenger,Never-Held-Office,Lost,General,188789,82202,0.4354173177,,,#DIV/0!,Contacted,7,47,1,28,18,0,7,48,1,29,18,0,1932,745,-24.06,1.0,27.0,0.0,11.0,0.0,1.0,1.0,28.0,0.0,11.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Seattle, WA",https://www.saraforcitycouncil.com/,Council,Open,Never-Held-Office,Won,General,193867,111107,0.5731093997,,,#DIV/0!,Contacted,31,108,1,34,42,31,31,109,1,34,43,31,8771,2161,41.34379310344828,1.0,0.0,0.0,14.0,0.0,1.0,1.0,0.0,0.0,15.0,0.0,1.0,31.0,1.0,0.0,0.0,28.0,0.0,0.0,0.0,31.0,1.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Seattle, WA",https://www.nikkitafornine.com/,Council,Open,Never-Held-Office,Lost,General,193867,82397,0.4250181826,,,#DIV/0!,Contacted,27,801,2,750,22,27,20,521,2,479,20,20,898,351,72.34210526315789,1.0,569.0,0.0,6.0,0.0,120.0,1.0,356.0,0.0,5.0,0.0,82.0,27.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"New Orleans, LA",https://www.helenamorenola.com/,Council,Incumbent,In-Office,Won,General,73395,62064,0.8456161864,,,#DIV/0!,Not-Contacted,4,43,7,27,4,5,4,43,7,27,4,5,982,408,49.565000000000005,7.0,23.0,0.0,1.0,0.0,0.0,7.0,23.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"New Orleans, LA",https://kennethcutno.com/,Council,Challenger,Never-Held-Office,Lost,General,73395,11331,0.1543838136,,,#DIV/0!,Contacted,1,23,0,15,8,0,1,23,0,15,8,0,845,373,56.79,0.0,2.0,0.0,6.0,0.0,13.0,0.0,2.0,0.0,6.0,0.0,13.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"New Orleans, LA",https://www.votebrossett.com/,Council,Open,In-Office,Lost,General,73395,8169,0.1113018598,,,#DIV/0!,Contacted,19,376,76,179,57,64,19,376,76,179,57,64,2209,379,82.49315789473684,57.0,67.0,26.0,12.0,19.0,110.0,57.0,67.0,26.0,12.0,19.0,110.0,38.0,2.0,19.0,1.0,6.0,0.0,0.0,0.0,38.0,2.0,19.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"New Orleans, LA",https://www.jpmorrell.com/,Council,Open,In-Office,Won,General,73395,37161,0.5063151441,,,#DIV/0!,Contacted,140,839,8,543,148,140,149,892,8,578,157,149,69095,7036,28.34536912751678,7.0,0.0,0.0,143.0,0.0,283.0,7.0,0.0,0.0,151.0,0.0,301.0,140.0,11.0,0.0,0.0,5.0,0.0,0.0,0.0,149.0,11.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,109.0,0.0,0.0,0.0,0.0,149.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"New Orleans, LA",https://www.palmer4nola.com/,Council,Open,In-Office,Lost,General,73395,23252,0.316806322,,,#DIV/0!,Contacted,2,19,2,13,4,0,2,19,2,13,4,0,246,157,48.3,1.0,10.0,0.0,1.0,0.0,3.0,1.0,10.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"New Orleans, LA",https://www.joegiarrusso.com/,Council,Incumbent,In-Office,Won,General,16819,12848,0.7638979725,,,#DIV/0!,Contacted,17,116,0,95,4,17,18,127,0,104,5,18,3736,1074,52.590555555555554,0.0,57.0,0.0,1.0,0.0,11.0,0.0,58.0,0.0,1.0,0.0,11.0,17.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,18.0,8.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"New Orleans, LA",https://www.bob4districta.com/,Council,Challenger,Never-Held-Office,Lost,General,16819,2770,0.1646946905,,,#DIV/0!,Not-Contacted,9,337,70,99,23,145,9,337,70,99,23,145,2141,690,38.59222222222222,0.0,0.0,0.0,1.0,0.0,27.0,0.0,0.0,0.0,1.0,0.0,27.0,145.0,0.0,9.0,9.0,4.0,15.0,0.0,0.0,145.0,0.0,9.0,9.0,4.0,15.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,37.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0
"New Orleans, LA",https://misko4citycouncil.org/,Council,Challenger,Never-Held-Office,Lost,General,16819,1201,0.07140733694,,,#DIV/0!,Contacted,3,18,1,4,1,12,3,18,1,4,1,12,504,283,55.76,1.0,3.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0,1.0,0.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"New Orleans, LA",https://www.votejayhbanks.com/,Council,Incumbent,In-Office,Won,General,13228,5896,0.4457211975,,,#DIV/0!,Contacted,29,1058,207,691,90,70,29,1061,207,693,90,71,11416,1407,55.80206896551725,123.0,276.0,0.0,32.0,0.0,411.0,123.0,276.0,0.0,32.0,0.0,411.0,70.0,2.0,0.0,29.0,0.0,0.0,0.0,0.0,71.0,2.0,0.0,29.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,29.0,0.0,0.0,55.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,29.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"New Orleans, LA",https://www.lesliharris4nola.com/,Council,Challenger,Never-Held-Office,Won,General,13228,4850,0.3666465074,,,#DIV/0!,Contacted,6,57,1,33,7,16,6,57,1,33,7,16,3153,1027,58.27333333333333,0.0,12.0,7.0,1.0,0.0,21.0,0.0,12.0,7.0,1.0,0.0,21.0,9.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,9.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"New Orleans, LA",https://timothydavidray.com/,Council,Challenger,Never-Held-Office,Lost,General,13228,0,0.0,,,#DIV/0!,Contacted,19,180,38,54,10,78,19,180,38,54,10,78,7677,1734,57.71157894736842,17.0,51.0,0.0,10.0,0.0,3.0,17.0,51.0,0.0,10.0,0.0,3.0,76.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"New Orleans, LA",https://www.teamrellaz.com/,Council,Challenger,Never-Held-Office,Lost,General,13228,1884,0.1424251588,,,#DIV/0!,Contacted,22,202,58,91,31,22,22,202,58,91,31,22,3698,782,57.48047619047619,23.0,0.0,0.0,1.0,0.0,47.0,23.0,0.0,0.0,1.0,0.0,47.0,22.0,11.0,0.0,18.0,12.0,0.0,0.0,0.0,22.0,11.0,0.0,18.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,7.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"New Orleans, LA",https://rizewithroz.com/,Council,Challenger,Never-Held-Office,Lost,General,13228,598,0.04520713638,,,#DIV/0!,Contacted,5,187,17,0,5,165,5,187,17,0,5,165,1270,534,22.186,0.0,0.0,17.0,0.0,2.0,0.0,0.0,0.0,17.0,0.0,2.0,0.0,148.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,148.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
