names,county,state,candidate_page,electoral_position,electoral_branch,electoral_level,area,campaign_website_url,camp_hand,off_hand,per_hand,party,location,error-type_link-name,error-type_heading-order,error-type_aria-allowed-role,error-type_image-alt,error-type_checkboxgroup,error-type_label,error-type_landmark-one-main,error-type_region,number_of_pages,number_of_total_errors,number_of_critical_errors,number_of_serious_errors,number_of_moderate_errors,number_of_minor_errors,number_of_words,number_of_unique_words,ease_of_reading,error-type_color-contrast,error-type_document-title,error-type_page-has-heading-one,error-type_object-alt,error-type_frame-title,error-type_empty-heading,error-type_duplicate-id,error-type_aria-valid-attr-value,error-type_meta-viewport,error-type_landmark-no-duplicate-banner,error-type_tabindex,error-type_html-has-lang,error-type_landmark-no-duplicate-contentinfo,error-type_bypass,error-type_skip-link,error-type_frame-title-unique,error-type_list,error-type_button-name,error-type_label-title-only,error-type_duplicate-id-active,error-type_radiogroup,error-type_duplicate-id-aria,error-type_aria-valid-attr,error-type_landmark-banner-is-top-level,error-type_landmark-main-is-top-level,error-type_aria-required-children,error-type_listitem,error-type_input-image-alt,error-type_autocomplete-valid,error-type_aria-allowed-attr
Chase Studstill,Atkinson,Georgia,"https://ballotpedia.org/Chase_Studstill_(Alapaha_Circuit_District_Attorney,_Georgia,_candidate_2022)",Judicial elections,Judicial,County,,https://www.keepstudstill.com,,,,Republican Party,"Atkinson, Georgia",3,3,3,2,1,1,1,1,1,15,3,4,5,3,224,139,67.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deborah Lynn,Barrow,Georgia,"https://ballotpedia.org/Deborah_Lynn_(Barrow_County_Commission,_District_6,_Georgia,_candidate_2022)",County Commission,Legislative,County,District 6,https://www.lynn2win4barrow.com/,,,,Republican Party,"Barrow, Georgia",2,,,,,,,,1,3,0,3,0,0,310,175,53.95,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matt Shultz,Bartow,Georgia,"https://ballotpedia.org/Matt_Shultz_(Bartow_County_Board_of_Education_District_3,_Georgia,_candidate_2022)",County Board of Education,Executive,County,District 3,http://www.mattshultz.org/,mattshultz,,,Republican Party,"Bartow, Georgia",1326,206,,24,,603,707,707,707,3871,627,1506,1720,18,20503,25,89.45,38,100,100,23,19,10,8,,,,,,,,,,,,,,,,,,,,,,,
Chase Studstill,Berrien,Georgia,"https://ballotpedia.org/Chase_Studstill_(Alapaha_Circuit_District_Attorney,_Georgia,_candidate_2022)",Judicial elections,Judicial,County,,https://www.keepstudstill.com,,,,Republican Party,"Berrien, Georgia",3,3,3,2,1,1,1,1,1,15,3,4,5,3,224,139,67.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steve Fuller,Carroll,Georgia,"https://ballotpedia.org/Steve_Fuller_(Carroll_County_Commission,_District_4,_Georgia,_candidate_2022)",County Commission,Legislative,County,District 4,https://fuller4carroll.com,,,,Republican Party,"Carroll, Georgia",,3,65,,,,,10,10,121,10,22,23,66,1835,657,82.517,22,,6,,,1,,5,5,4,,,,,,,,,,,,,,,,,,,,
Chase Studstill,Clinch,Georgia,"https://ballotpedia.org/Chase_Studstill_(Alapaha_Circuit_District_Attorney,_Georgia,_candidate_2022)",Judicial elections,Judicial,County,,https://www.keepstudstill.com,,,,Republican Party,"Clinch, Georgia",3,3,3,2,1,1,1,1,1,15,3,4,5,3,224,139,67.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chase Studstill,Cook,Georgia,"https://ballotpedia.org/Chase_Studstill_(Alapaha_Circuit_District_Attorney,_Georgia,_candidate_2022)",Judicial elections,Judicial,County,,https://www.keepstudstill.com,,,,Republican Party,"Cook, Georgia",3,3,3,2,1,1,1,1,1,15,3,4,5,3,224,139,67.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chase Studstill,Lanier,Georgia,"https://ballotpedia.org/Chase_Studstill_(Alapaha_Circuit_District_Attorney,_Georgia,_candidate_2022)",Judicial elections,Judicial,County,,https://www.keepstudstill.com,,,,Republican Party,"Lanier, Georgia",3,3,3,2,1,1,1,1,1,15,3,4,5,3,224,139,67.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dan Mawhorr,Adams,Indiana,"https://ballotpedia.org/Dan_Mawhorr_(Adams_County_Sheriff,_Indiana,_candidate_2022)",County Sheriff,Executive,County,,https://www.danmawhorrforsheriff.com/,,,,Republican Party,"Adams, Indiana",,,,1,,1,1,1,1,5,3,0,2,0,0,0,206.84,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
Peter J. Iversen,Monroe,Indiana,"https://ballotpedia.org/Peter_J._Iversen_(Monroe_County_Council,_District_1,_Indiana,_candidate_2022)",County Council,Legislative,County,District 1,https://peteriversen.org/,peteriversen_,,,Democratic Party,"Monroe, Indiana",,,5,,,,,,5,15,0,5,4,6,462,221,64.284,,,4,,,1,,,,,5,,,,,,,,,,,,,,,,,,,
Andy Rutten,St. Joseph,Indiana,"https://ballotpedia.org/Andy_Rutten_(Penn-Harris-Madison_School_Board_At-large,_Indiana,_candidate_2022)",School Board,Executive,Special District,At-large,https://www.andyforphm.com,,,,Nonpartisan,"St. Joseph, Indiana",,3,35,7,,,,1,1,53,7,0,4,42,340,187,53.44,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,
Luc Angelot,Wicomico,Maryland,"https://ballotpedia.org/Luc_Angelot_(Wicomico_County_Board_of_Education,_District_1,_Maryland,_candidate_2022)",County Board of Education,Executive,County,District 1,https://lucangelot.com,lucangelot,,,Nonpartisan,"Wicomico, Maryland",2,,,,,,,,1,5,0,5,0,0,151,90,69.21,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laura Gannon,Anoka,Minnesota,"https://ballotpedia.org/Laura_Gannon_(Centennial_School_Board,_Minnesota,_candidate_2022)",School Board,Executive,Special District,,https://lauragannon4isd12.com/,,,,Nonpartisan,"Anoka, Minnesota",,1,36,,,,,,7,73,0,27,10,36,2398,707,9.122857143,27,,2,,,,,,,7,,,,,,,,,,,,,,,,,,,,
Courtney Johnson,Carver,Minnesota,"https://ballotpedia.org/Courtney_Johnson_(Mayor_of_Carver,_Minnesota,_candidate_2022)",Mayor,Executive,City,,https://www.courtney4mayor.com,,,,Nonpartisan,"Carver, Minnesota",,,,,,,1,1,1,5,0,2,3,0,0,0,206.84,1,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Roger D. Pohlman,Jackson,Minnesota,"https://ballotpedia.org/Roger_D._Pohlman_(Jackson_County_Commissioner_District_3,_Minnesota,_candidate_2022)",County Commissioner,Legislative,County,District 3,https://www.pohlmancommissioner.com/,,,,Nonpartisan,"Jackson, Minnesota",,,2,,,,,2,2,10,0,0,6,4,112,38,44.03,,,,,,2,,,,2,,,2,,,,,,,,,,,,,,,,,
Jay Maynard,Martin,Minnesota,"https://ballotpedia.org/Jay_Maynard_(Fairmont_City_Council_Ward_1,_Minnesota,_candidate_2022)",City Council,Legislative,City,Ward 1,https://maynardforfairmont.org,JayFairmont,,,Nonpartisan,"Martin, Minnesota",5,6,,,,15,10,10,10,118,15,65,36,2,3040,872,48.034,60,,10,,,2,,,,,,,,,,,,,,,,,,,,,,,,
Justin M. Cook,Olmsted,Minnesota,"https://ballotpedia.org/Justin_M._Cook_(Rochester_Public_Schools_Seat_2,_Minnesota,_candidate_2022)",Schools Seat 2,Executive,Special District,,https://justinmcook.com,JustinMCook1,,,Nonpartisan,"Olmsted, Minnesota",7,12,226,13,,,,5,5,282,13,7,17,245,2771,828,11.408,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,
Julie Workman,Olmsted,Minnesota,"https://ballotpedia.org/Julie_Workman_(Rochester_Public_Schools_Seat_4,_Minnesota,_candidate_2022)",Schools Seat 4,Executive,Special District,,https://julieworkmanorg.wordpress.com/,,,,Nonpartisan,"Olmsted, Minnesota",,,,,,,1,1,1,4,1,0,3,0,20,18,78.25,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,
Jason Lukovsky,St. Louis,Minnesota,"https://ballotpedia.org/Jason_Lukovsky_(St._Louis_County_Sheriff,_Minnesota,_candidate_2022)",County Sheriff,Executive,County,,https://lukovskyforsheriff.com/,,,,Nonpartisan,"St. Louis, Minnesota",,,,3,,,1,1,1,11,4,4,3,0,155,79,74.08,2,,1,,,,,,1,,,1,,1,,,,,,,,,,,,,,,,
Gordon Ramsay,St. Louis,Minnesota,"https://ballotpedia.org/Gordon_Ramsay_(St._Louis_County_Sheriff,_Minnesota,_candidate_2022)",County Sheriff,Executive,County,,https://www.voteramsay.com,chieframsay,,,Nonpartisan,"St. Louis, Minnesota",8,4,2,,,5,1,1,1,23,5,9,7,2,1314,538,47.72,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,
Justin M. Cook,Wabasha,Minnesota,"https://ballotpedia.org/Justin_M._Cook_(Rochester_Public_Schools_Seat_2,_Minnesota,_candidate_2022)",Schools Seat 2,Executive,Special District,,https://justinmcook.com,JustinMCook1,,,Nonpartisan,"Wabasha, Minnesota",7,12,226,13,,,,5,5,282,13,7,17,245,2771,828,11.408,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,
Julie Workman,Wabasha,Minnesota,"https://ballotpedia.org/Julie_Workman_(Rochester_Public_Schools_Seat_4,_Minnesota,_candidate_2022)",Schools Seat 4,Executive,Special District,,https://julieworkmanorg.wordpress.com/,,,,Nonpartisan,"Wabasha, Minnesota",,,,,,,1,1,1,4,1,0,3,0,20,18,78.25,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,
Chris Meyer,Winona,Minnesota,"https://ballotpedia.org/Chris_Meyer_(Winona_County_Commissioner_District_1,_Minnesota,_candidate_2022)",County Commissioner,Legislative,County,District 1,https://www.chrismeyerforwinonacountycommissioner.com/,,,,Nonpartisan,"Winona, Minnesota",43,,1,90,,2,47,47,47,1183,92,806,141,144,23992,1712,47.52521739,651,,47,,13,,143,,,,,,,,,54,45,,,,,,,,,,,,,
Steve Carter,Alamance,North Carolina,"https://ballotpedia.org/Steve_Carter_(Alamance_County_Board_of_Commissioners,_North_Carolina,_candidate_2022)",County Board of Commissioners,Legislative,County,,https://commissionerstevecarter.wordpress.com/,,,,Republican Party,"Alamance, North Carolina",,8,52,,,26,,26,52,181,52,17,60,52,4064,508,38.78538462,17,,26,,,,,,,,,,,,,,,26,,,,,,,,,,,,
Craig Turner,Alamance,North Carolina,"https://ballotpedia.org/Craig_Turner_(Alamance_County_Board_of_Commissioners,_North_Carolina,_candidate_2022)",County Board of Commissioners,Legislative,County,,https://votecraigturner.com/,,,,Republican Party,"Alamance, North Carolina",6,6,10,,1,6,6,6,6,71,7,36,18,10,1222,545,35.036,24,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,
B. Phil Howell,Ashe,North Carolina,"https://ballotpedia.org/B._Phil_Howell_(Ashe_County_Sheriff,_North_Carolina,_candidate_2022)",County Sheriff,Executive,County,,https://sheriffphilhowell.com/,,,,Republican Party,"Ashe, North Carolina",,,,,,,1,1,1,4,0,2,2,0,103,73,65.12,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Joshua Biggers,Ashe,North Carolina,"https://ballotpedia.org/Joshua_Biggers_(New_River_(Ashe_County)_Soil_and_Water_Conservation_District_Board_of_Supervisors,_North_Carolina,_candidate_2022)",County) Soil and Water Conservation,Executive,County,,https://www.votebiggers.com,votebiggers,,,Nonpartisan,"Ashe, North Carolina",3,,,,,,,,1,4,0,4,0,0,657,342,41.29,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frankie Waters,Beaufort,North Carolina,"https://ballotpedia.org/Frankie_Waters_(Beaufort_County_Board_of_Commissioners,_North_Carolina,_candidate_2022)",County Board of Commissioners,Legislative,County,,https://watersforcommissioner.com/,,,,Republican Party,"Beaufort, North Carolina",,1,,,,10,3,3,3,34,13,5,7,9,843,408,-37.32333333,5,,,,,,9,,3,,,,,,,,,,,,,,,,,,,,,
Corey Rogerson,Beaufort,North Carolina,"https://ballotpedia.org/Corey_Rogerson_(Beaufort_County_Sheriff,_North_Carolina,_candidate_2022)",County Sheriff,Executive,County,,https://www.rogerson4sheriff.com/,,,,Democratic Party,"Beaufort, North Carolina",4,3,1,,,,,,6,40,0,35,4,1,2105,644,48.835,31,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scott Hammonds,Beaufort,North Carolina,"https://ballotpedia.org/Scott_Hammonds_(Beaufort_County_Sheriff,_North_Carolina,_candidate_2022)",County Sheriff,Executive,County,,https://www.electscotthammondsforsheriff.net/,,,,Republican Party,"Beaufort, North Carolina",,,,,,,1,1,1,12,0,9,3,0,298,167,32.97,8,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Tyrone M. Ruffin,Bertie,North Carolina,"https://ballotpedia.org/Tyrone_M._Ruffin_(Bertie_County_Sheriff,_North_Carolina,_candidate_2022)",County Sheriff,Executive,County,,https://ruffin4bertie.com/,,,,Democratic Party,"Bertie, North Carolina",,,,1,,,1,1,1,4,1,1,2,0,20,20,85.02,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
J.M. (Marty) Cooke,Brunswick,North Carolina,"https://ballotpedia.org/J.M._(Marty)_Cooke_(Brunswick_County_Board_of_Commissioners_District_2,_North_Carolina,_candidate_2022)",County Board of Commissioners,Legislative,County,District 2,https://martycooke.com/,,,,Republican Party,"Brunswick, North Carolina",1,,2,,,4,,,1,13,4,6,1,2,391,227,15.17,1,,1,,,,,,,,,,,,,,,,4,,,,,,,,,,,
Katie Madon,Brunswick,North Carolina,"https://ballotpedia.org/Katie_Madon_(Brunswick_County_Clerk_of_Superior_Court,_North_Carolina,_candidate_2022)",County Clerk of Superior Court,Judicial,County,,http://a9c.467.myftpupload.com/,,,,Republican Party,"Brunswick, North Carolina",1,,,,,4,,,1,11,4,6,0,1,981,415,45.29,1,,,,,1,,,,,,,,,,,,,4,,,,,,,,,,,
Martin Moore,Buncombe,North Carolina,"https://ballotpedia.org/Martin_Moore_(Buncombe_County_Board_of_Commissioners_District_2,_North_Carolina,_candidate_2022)",County Board of Commissioners,Legislative,County,District 2,https://www.martinforbuncombe.org/,,,,Democratic Party,"Buncombe, North Carolina",23,1,15,1,,4,,,15,149,5,127,2,15,3581,853,51.6,81,,1,,,,,,,,15,,,,,,,,,8,,,,,,,,,,
Quentin Miller,Buncombe,North Carolina,"https://ballotpedia.org/Quentin_Miller_(Buncombe_County_Sheriff,_North_Carolina,_candidate_2022)",County Sheriff,Executive,County,,https://www.quentinforbuncombe.org/,,,,Democratic Party,"Buncombe, North Carolina",5,,15,,,,,1,5,31,0,15,1,15,1602,648,51.232,9,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Alice Berry,Buncombe,North Carolina,"https://ballotpedia.org/Alice_Berry_(Black_Mountain_Town_Council,_North_Carolina,_candidate_2022)",Council,Legislative,City,,https://www.aliceberryforblackmountaintowncouncil.com/,,,,"<a href=""https://www.aliceberryforblackmountaintowncouncil.com/"" target=""_blank"">Campaign website</a>","Buncombe, North Carolina",,,,,,,1,1,1,5,0,2,3,0,0,0,206.84,1,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Todd Williams,Buncombe,North Carolina,"https://ballotpedia.org/Todd_Williams_(North_Carolina_40th_Prosecutorial_District_Attorney,_North_Carolina,_candidate_2022)",Judicial elections,Judicial,County,,https://www.toddwilliamsforda.com,DAToddWilliams,,,Democratic Party,"Buncombe, North Carolina",1,,,1,,,1,1,1,8,2,4,2,0,60,41,73.68,2,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,
Phil Smith,Burke,North Carolina,"https://ballotpedia.org/Phil_Smith_(Burke_County_Board_of_Commissioners,_North_Carolina,_candidate_2022)",County Board of Commissioners,Legislative,County,,https://www.electphilsmith.com/,,,,Republican Party,"Burke, North Carolina",,,,,,,1,1,1,5,0,2,3,0,0,0,206.84,1,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Crystal R. Carpenter,Burke,North Carolina,"https://ballotpedia.org/Crystal_R._Carpenter_(Burke_County_Clerk_of_Superior_Court,_North_Carolina,_candidate_2022)",County Clerk of Superior Court,Judicial,County,,https://www.electcrystalcarpenter.com/,,,,Republican Party,"Burke, North Carolina",1,,,1,,,1,1,1,8,2,4,2,0,60,41,73.68,2,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,
Banks Hinceman,Burke,North Carolina,"https://ballotpedia.org/Banks_Hinceman_(Burke_County_Sheriff,_North_Carolina,_candidate_2022)",County Sheriff,Executive,County,,https://www.banksforsheriff.com/,,,,Republican Party,"Burke, North Carolina",,4,6,,,,,,6,39,0,26,7,6,248,126,51.18333333,10,,3,,10,,,,,,6,,,,,,,,,,,,,,,,,,,
Chris Measmer,Cabarrus,North Carolina,"https://ballotpedia.org/Chris_Measmer_(Cabarrus_County_Board_of_Commissioners,_North_Carolina,_candidate_2022)",County Board of Commissioners,Legislative,County,,https://votechrismeasmer.com,ChrisMeasmer,,,Republican Party,"Cabarrus, North Carolina",14,4,,,,9,7,7,7,194,16,113,20,45,1092,322,38.63142857,99,,2,,,10,35,,7,,,,,,,,,,,,,,,,,,,,,
Lynn Shue,Cabarrus,North Carolina,"https://ballotpedia.org/Lynn_Shue_(Cabarrus_County_Board_of_Commissioners,_North_Carolina,_candidate_2022)",County Board of Commissioners,Legislative,County,,https://electlynnshue.com/,,,,Republican Party,"Cabarrus, North Carolina",,7,75,6,,,,3,3,104,7,0,10,87,431,195,69.35666667,,,,,,,12,,,,,,,,,,,1,,,,,,,,,,,,
Katie Kenlan,Chatham,North Carolina,"https://ballotpedia.org/Katie_Kenlan_(Chatham_County_Board_of_Commissioners_District_4,_North_Carolina,_candidate_2022)",County Board of Commissioners,Legislative,County,District 4,https://katiekenlan.com/,,,,Democratic Party,"Chatham, North Carolina",,11,296,11,,2,,7,7,364,16,0,18,330,1822,603,52.15142857,,,,,,,34,,,,,,,,,,,3,,,,,,,,,,,,
Jeff Nieman,Chatham,North Carolina,"https://ballotpedia.org/Jeff_Nieman_(North_Carolina_18th_Prosecutorial_District_Attorney,_North_Carolina,_candidate_2022)",Judicial elections,Judicial,County,,https://jeffnieman.com/,JeffNiemanNC,,,Democratic Party,"Chatham, North Carolina",3,9,120,,,15,,25,25,284,50,54,44,136,7457,1374,70.4676,51,,10,,,,16,10,10,,,,,,,,,15,,,,,,,,,,,,
Dustin D. Smith,Cherokee,North Carolina,"https://ballotpedia.org/Dustin_D._Smith_(Cherokee_County_Sheriff,_North_Carolina,_candidate_2022)",County Sheriff,Executive,County,,http://votedustinsmith.com/,,,,Republican Party,"Cherokee, North Carolina",,,,1,,,1,1,1,6,1,2,3,0,33,26,80.28,,,1,,,,,,,,,1,,1,,,,,,,,,,,,,,,,
Aaron Bridges,Cleveland,North Carolina,"https://ballotpedia.org/Aaron_Bridges_(Cleveland_County_Board_of_Education,_North_Carolina,_candidate_2022)",County Board of Education,Executive,County,,https://electaaronbridgesforschoolboard.mailchimpsites.com,,,,Republican Party,"Cleveland, North Carolina",,1,,,,,4,4,4,30,0,15,12,3,1191,426,73.5625,11,,3,,,3,,,,,,4,,,,,,,,,,,,,,,,,,
Jason Soles,Columbus,North Carolina,"https://ballotpedia.org/Jason_Soles_(Columbus_County_Sheriff,_North_Carolina,_candidate_2022)",County Sheriff,Executive,County,,https://www.solesforsheriff.com,,,,Democratic Party,"Columbus, North Carolina",,,,,,,1,1,1,5,1,2,2,0,108,78,55.95,1,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,
Lisa A. Scales,Cumberland,North Carolina,"https://ballotpedia.org/Lisa_A._Scales_(Cumberland_County_Clerk_of_Superior_Court,_North_Carolina,_candidate_2022)",County Clerk of Superior Court,Judicial,County,,http://www.electlisascales.com,,,,Democratic Party,"Cumberland, North Carolina",,,,,,,5,5,5,39,0,23,16,0,906,286,46.89,15,,4,,4,,,,,,,,2,4,,,,,,,,,,,,,,,,
Jason Lawrence,Davie,North Carolina,"https://ballotpedia.org/Jason_Lawrence_(Davie_County_Clerk_of_Superior_Court,_North_Carolina,_candidate_2022)",County Clerk of Superior Court,Judicial,County,,https://lawrence4csc.com,,,,Republican Party,"Davie, North Carolina",1,2,80,5,,2,,2,2,105,10,2,4,89,384,201,39.335,1,,,,,,9,,,,,,,,,,,3,,,,,,,,,,,,
J.D. Hartman,Davie,North Carolina,"https://ballotpedia.org/J.D._Hartman_(Davie_County_Sheriff,_North_Carolina,_candidate_2022)",County Sheriff,Executive,County,,https://www.sheriffhartman.com,,,,Republican Party,"Davie, North Carolina",18,1,7,,,,,7,7,57,0,20,15,22,2510,692,36.50285714,2,,7,,,1,14,,,,,,,,,,,,,,,,,,,,,,,
Joe Caudle,Davie,North Carolina,"https://ballotpedia.org/Joe_Caudle_(Davie_County_Board_of_Education,_North_Carolina,_candidate_2022)",County Board of Education,Executive,County,,https://www.caudlefordc.com,,,,Republican Party,"Davie, North Carolina",1,,,1,,,1,1,1,8,2,4,2,0,60,41,73.68,2,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,
Stratton F. Stokes,Duplin,North Carolina,"https://ballotpedia.org/Stratton_F._Stokes_(Duplin_County_Sheriff,_North_Carolina,_candidate_2022)",County Sheriff,Executive,County,,https://votestrattonstokes.com,,,,Republican Party,"Duplin, North Carolina",13,,12,,1,19,6,6,6,132,20,88,12,12,535,191,36.08166667,56,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,
Jeffrey A. Marsigli,Edgecombe,North Carolina,"https://ballotpedia.org/Jeffrey_A._Marsigli_(North_Carolina_8th_Prosecutorial_District_Attorney,_North_Carolina,_candidate_2022)",Judicial elections,Judicial,County,,https://marsigliforda.com,,,,Republican Party,"Edgecombe, North Carolina",5,1,,,,,,,1,13,0,9,2,2,54,41,44.75,4,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,
Troy Wheless,Franklin,North Carolina,"https://ballotpedia.org/Troy_Wheless_(Franklin_County_Sheriff,_North_Carolina,_candidate_2022)",County Sheriff,Executive,County,,https://www.troywhelessforsheriff.com,,,,Democratic Party,"Franklin, North Carolina",,,,,,,1,1,1,5,0,2,3,0,0,0,206.84,1,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Kevin White,Franklin,North Carolina,"https://ballotpedia.org/Kevin_White_(Franklin_County_Sheriff,_North_Carolina,_candidate_2022)",County Sheriff,Executive,County,,https://www.kevinwhiteforsheriff.com,KevinWhiteNC,,,Republican Party,"Franklin, North Carolina",15,9,17,15,,32,8,8,8,139,48,43,31,17,1395,380,60.62625,25,,6,,3,,,,,,,,,,,,,,,,1,,,,,,,,,
Cathy Cloninger,Gaston,North Carolina,"https://ballotpedia.org/Cathy_Cloninger_(Gaston_County_Board_of_Commissioners_Dallas_Township,_North_Carolina,_candidate_2022)",County Board of Commissioners Dallas Township,Legislative,County,,https://cathycloninger.com,,,,Republican Party,"Gaston, North Carolina",,6,88,8,,,,4,4,120,10,0,10,100,1745,597,46.955,,,,,,,12,,,,,,,,,,,2,,,,,,,,,,,,
Chad Hawkins,Gaston,North Carolina,"https://ballotpedia.org/Chad_Hawkins_(Gaston_County_Sheriff,_North_Carolina,_candidate_2022)",County Sheriff,Executive,County,,https://www.hawkinsforgaston.com,HawkinsforGC,,,Republican Party,"Gaston, North Carolina",,1,8,,,15,3,5,6,49,22,3,12,12,1096,575,10.57333333,,,3,,,,4,,,,,,,,,,,,,3,2,5,,,,,,,,
"Robert D. Fountain, Jr.",Granville,North Carolina,"https://ballotpedia.org/Robert_D._Fountain,_Jr._(Granville_County_Sheriff,_North_Carolina,_candidate_2022)",County Sheriff,Executive,County,,https://fountain4sheriff.com,,,,Democratic Party,"Granville, North Carolina",3,12,606,46,,,,10,10,724,46,5,23,650,2405,731,46.694,,,1,,2,,44,,,,,,,,,,,,,,,,,,,,,,,
Barbara McKoy,Harnett,North Carolina,"https://ballotpedia.org/Barbara_McKoy_(Harnett_County_Board_of_Commissioners_District_1,_North_Carolina,_candidate_2022)",County Board of Commissioners,Legislative,County,District 1,https://campaigntoelectbarbaramckoy.weebly.com,,,,Democratic Party,"Harnett, North Carolina",,,,4,,1,4,4,4,28,4,12,12,0,1079,333,57.825,4,,4,,,,,,,,,4,,2,,,1,,,,,,,,,,,,,
Jennifer Best,Haywood,North Carolina,"https://ballotpedia.org/Jennifer_Best_(Haywood_County_Board_of_Commissioners,_North_Carolina,_candidate_2022)",County Board of Commissioners,Legislative,County,,https://www.bestforhaywood.com,,,,Republican Party,"Haywood, North Carolina",1,,,1,,,1,1,1,8,2,4,2,0,60,41,73.68,2,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,
William (Bill) Wilke,Haywood,North Carolina,"https://ballotpedia.org/William_(Bill)_Wilke_(Haywood_County_Sheriff,_North_Carolina,_candidate_2022)",County Sheriff,Executive,County,,https://www.wilkeforsheriff.com,,,,Republican Party,"Haywood, North Carolina",1,,,1,,,1,1,1,8,2,4,2,0,60,41,73.68,2,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,
Andrew Murray,Henderson,North Carolina,"https://ballotpedia.org/Andrew_Murray_(North_Carolina_42nd_Prosecutorial_District_Attorney,_North_Carolina,_candidate_2022)",Judicial elections,Judicial,County,,https://www.andrewmurrayda.com/,,,,Republican Party,"Henderson, North Carolina",,2,,,,4,,,2,8,4,2,2,0,1335,467,43.445,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Frump,Hoke,North Carolina,"https://ballotpedia.org/David_Frump_(Hoke_County_Board_of_Commissioners,_North_Carolina,_candidate_2022)",County Board of Commissioners,Legislative,County,,https://www.hokeforward.com,,,,Republican Party,"Hoke, North Carolina",,6,9,,,2,,,9,38,1,11,15,11,1652,625,71.68,,,9,,,,2,,,,9,,,,,,,,,,,1,,,,,,,,
